"","Rank","Company","Ticker","Sector","Industry","Profitable","Founder_is_CEO","FemaleCEO","Growth_in_Jobs","Change_in_Rank","Gained_in_Rank","Dropped_in_Rank","Newcomer_to_the_Fortune500","Global500","Best_Companies","Number_of_employees","MarketCap_March31_M","RevenuePercentChange","ProfitsPercentChange","CEO","Country","HeadquartersCity","HeadquartersState","Website","CompanyType","Footnote","Revenues","Abs_Profits","Assets","MarketCap_March31"
"1",1,"Walmart","WMT","Retailing","General Merchandisers","yes","false","false","no",0,"no","no","no","yes","no",2100000,397475,6.7,-14.6,"C. Douglas McMillon","U.S.","Bentonville","AR","www.stock.walmart.com","Public","Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",6.11289e+11,1.168e+10,2.43197e+11,3.97475e+11
"2",2,"Amazon","AMZN","Retailing","Internet Services and Retailing","no","false","false","no",0,"no","no","no","yes","no",1541000,1058440,9.4,-108.2,"Andrew R. Jassy","U.S.","Seattle","WA","www.amazon.com","Public","Market value as of July 17, 2023.",5.13983e+11,2.722e+09,4.62675e+11,1.05844e+12
"3",3,"Exxon Mobil","XOM","Energy","Petroleum Refining","yes","false","false","no",3,"yes","no","no","yes","no",62000,446424,44.8,141.9,"Darren W. Woods","U.S.","Irving","TX","www.exxonmobil.com","Public","Excise taxes have been deducted. Market value as of July 17, 2023.",4.1368e+11,5.574e+10,3.69067e+11,4.46424e+11
"4",4,"Apple","AAPL","Technology","Computers, Office Equipment","yes","false","false","yes",-1,"no","yes","no","yes","no",164000,2609039,7.8,5.4,"Timothy D. Cook","U.S.","Cupertino","CA","www.apple.com","Public","Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",3.94328e+11,9.9803e+10,3.52755e+11,2.609039e+12
"5",5,"UnitedHealth Group","UNH","Health Care","Health Care: Insurance and Managed Care","yes","false","false","yes",0,"no","no","no","yes","no",400000,440854,12.7,16.4,"Andrew P. Witty","U.S.","Minnetonka","MN","www.unitedhealthgroup.com","Public","Market value as of July 17, 2023.",3.24162e+11,2.012e+10,2.45705e+11,4.40854e+11
"6",6,"CVS Health","CVS","Health Care","Health Care: Pharmacy and Other Services","yes","false","true","yes",-2,"no","yes","no","yes","no",259500,95422,10.4,-47.5,"Karen S. Lynch","U.S.","Woonsocket","RI","www.cvshealth.com","Public","Market value as of July 17, 2023.",3.22467e+11,4.149e+09,2.28275e+11,9.5422e+10
"7",7,"Berkshire Hathaway","BRKA","Financials","Insurance: Property and Casualty (Stock)","no","false","false","yes",0,"no","no","no","yes","no",383000,675657,9.4,-125.4,"Warren E. Buffett","U.S.","Omaha","NE","www.berkshirehathaway.com","Public","Market value as of July 17, 2023.",3.02089e+11,2.2819e+10,9.48452e+11,6.75657e+11
"8",8,"Alphabet","GOOGL","Technology","Internet Services and Retailing","yes","false","false","yes",0,"no","no","no","yes","no",190234,1330201,9.8,-21.1,"Sundar Pichai","U.S.","Mountain View","CA","www.abc.xyz","Public","Market value as of July 17, 2023.",2.82836e+11,5.9972e+10,3.65264e+11,1.330201e+12
"9",9,"McKesson","MCK","Health Care","Wholesalers: Health Care","yes","false","false","no",0,"no","no","no","yes","no",66500,48757,10.8,NA,"Brian S. Tyler","U.S.","Irving","TX","www.mckesson.com","Public","Figures are for fiscal year ended March 31, 2023. Market value as of July 17, 2023.",2.63966e+11,1.114e+09,6.3298e+10,4.8757e+10
"10",10,"Chevron","CVX","Energy","Petroleum Refining","yes","false","false","yes",6,"yes","no","no","yes","no",43846,311093,51.6,127,"Michael K. Wirth","U.S.","San Ramon","CA","www.chevron.com","Public","Excise taxes have been deducted. Market value as of July 17, 2023.",2.46252e+11,3.5465e+10,2.57709e+11,3.11093e+11
